code,sp,sp_str
SP01,AUSSDA,Austrian%20Social%20Science%20Data%20Archive%20%28AUSSDA%29
SP02,CSDA,Czech%20Social%20Science%20Data%20Archive%20%28%C4%8CSDA%29
SP03,DASSI,DASSI%20-%20Data%20Archive%20for%20Social%20Sciences%20in%20Italy
SP04,DNA,Danish%20National%20Archives%20%28DNA%29
SP05,FORS,FORS%20-%20Swiss%20Centre%20of%20Expertise%20in%20the%20Social%20Sciences
SP06,FSD,Finnish%20Social%20Science%20Data%20Archive%20%28FSD%29
SP07,GESIS,GESIS%20-%20Leibniz%20Institute%20for%20the%20Social%20Sciences
SP08,HumMingBird,HumMingBird
SP09,PROGEDO,PROGEDO
SP10,PROGEDO CDSP,PROGEDO%3A%20Center%20for%20Socio-Political%20Data%20%28CDSP%29
SP11,APIS,Portuguese%20Archive%20of%20Social%20Information%20%28APIS%29
SP12,Sikt,Sikt%20-%20Norwegian%20Agency%20for%20Shared%20Services%20in%20Education%20and%20Research
SP13,SASD,Slovak%20Archive%20of%20Social%20Data%20%28SASD%29
SP14,ADP,Slovenian%20Social%20Science%20Data%20Archives%20%28ADP%29
SP15,So.Da.Net,SoDaNet%20-%20Greek%20Research%20Infrastructure%20for%20Social%20Science
SP16,SODHA,Social%20Sciences%20and%20Digital%20Humanities%20Archive%20%28SODHA%29
SP17,SND,Swedish%20National%20Data%20Service%20%28SND%29
SP18,UKDS,UK%20Data%20Service
