Topic;sub1
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES)
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Censuses
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Migration
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Morbidity and mortality
ECONOMICS;ECONOMICS
ECONOMICS;Consumption and consumer behaviour
ECONOMICS;Economic conditions and indicators
ECONOMICS;Economic policy,  public expenditure and revenue
ECONOMICS;Economic systems and development
ECONOMICS;Income, property and investment/saving
EDUCATION;EDUCATION
EDUCATION;Compulsory and pre-school education
EDUCATION;Educational policy
EDUCATION;Higher and further education
EDUCATION;Life-long/continuing education
EDUCATION;Vocational education and training
HEALTH;HEALTH
HEALTH;Diet and nutrition
HEALTH;Drug abuse, alcohol and smoking
HEALTH;General health and well-being
HEALTH;Health care services and policies
HEALTH;Medication and treatment
HEALTH;Occupational health
HEALTH;Physical fitness and exercise
HEALTH;Public health
HEALTH;Reproductive health
HEALTH;"Signs and symptoms; pathological conditions"
HEALTH;Specific diseases, disorders and medical conditions
HEALTH;Wounds and injuries
HISTORY;HISTORY
HOUSING AND LAND USE;HOUSING AND LAND USE
HOUSING AND LAND USE;Housing
HOUSING AND LAND USE;Land use and planning
LABOUR AND EMPLOYMENT;LABOUR AND EMPLOYMENT
LABOUR AND EMPLOYMENT;Employee training
LABOUR AND EMPLOYMENT;Employment
LABOUR AND EMPLOYMENT;Labour and employment policy
LABOUR AND EMPLOYMENT;Labour relations/conflict
LABOUR AND EMPLOYMENT;Retirement
LABOUR AND EMPLOYMENT;Unemployment
LABOUR AND EMPLOYMENT;Working conditions
LAW, CRIME AND LEGAL SYSTEMS;LAW, CRIME AND LEGAL SYSTEMS
LAW, CRIME AND LEGAL SYSTEMS;Crime and law enforcement
LAW, CRIME AND LEGAL SYSTEMS;Legislation and legal systems
MEDIA, COMMUNICATION AND LANGUAGE;MEDIA, COMMUNICATION AND LANGUAGE
MEDIA, COMMUNICATION AND LANGUAGE;Information society
MEDIA, COMMUNICATION AND LANGUAGE;Language and linguistics
MEDIA, COMMUNICATION AND LANGUAGE;Media
MEDIA, COMMUNICATION AND LANGUAGE;Public relations
NATURAL ENVIRONMENT;NATURAL ENVIRONMENT
NATURAL ENVIRONMENT;Energy and natural resources
NATURAL ENVIRONMENT;Environment and conservation
NATURAL ENVIRONMENT;Natural landscapes
NATURAL ENVIRONMENT;Plants and animals
POLITICS;POLITICS
POLITICS;Conflict, security and peace
POLITICS;Elections
POLITICS;Government, political systems and organisations
POLITICS;International politics and organisations
POLITICS;Political behaviour and attitudes
POLITICS;Political ideology
PSYCHOLOGY;PSYCHOLOGY
SCIENCE AND TECHNOLOGY;SCIENCE AND TECHNOLOGY
SCIENCE AND TECHNOLOGY;Biotechnology
SCIENCE AND TECHNOLOGY;Information technology
SOCIAL STRATIFICATION AND GROUPINGS;SOCIAL STRATIFICATION AND GROUPINGS
SOCIAL STRATIFICATION AND GROUPINGS;Children
SOCIAL STRATIFICATION AND GROUPINGS;Elderly
SOCIAL STRATIFICATION AND GROUPINGS;Elites and leadership
SOCIAL STRATIFICATION AND GROUPINGS;Equality, inequality and social exclusion
SOCIAL STRATIFICATION AND GROUPINGS;Family life and marriage
SOCIAL STRATIFICATION AND GROUPINGS;Gender and gender roles
SOCIAL STRATIFICATION AND GROUPINGS;Minorities
SOCIAL STRATIFICATION AND GROUPINGS;Social and occupational mobility
SOCIAL STRATIFICATION AND GROUPINGS;Youth
SOCIAL WELFARE POLICY AND SYSTEMS;SOCIAL WELFARE POLICY AND SYSTEMS
SOCIAL WELFARE POLICY AND SYSTEMS;Social welfare policy
SOCIAL WELFARE POLICY AND SYSTEMS;Social welfare systems/structures
SOCIAL WELFARE POLICY AND SYSTEMS;Specific social services: use and availability
SOCIETY AND CULTURE;SOCIETY AND CULTURE
SOCIETY AND CULTURE;Community, urban and rural life
SOCIETY AND CULTURE;Cultural activities and participation
SOCIETY AND CULTURE;Cultural and national identity
SOCIETY AND CULTURE;Leisure, tourism and sport
SOCIETY AND CULTURE;Religion and values
SOCIETY AND CULTURE;Social behaviour and attitudes
SOCIETY AND CULTURE;Social change
SOCIETY AND CULTURE;Social conditions and indicators
SOCIETY AND CULTURE;Time use
TRADE, INDUSTRY AND MARKETS;TRADE, INDUSTRY AND MARKETS
TRADE, INDUSTRY AND MARKETS;Agriculture and rural industry
TRADE, INDUSTRY AND MARKETS;Business/industrial management and organisation
TRADE, INDUSTRY AND MARKETS;Foreign trade
TRANSPORT AND TRAVEL;TRANSPORT AND TRAVEL
OTHER;OTHER
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);BEVÖLKERUNGSSTATISTIK
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Volkszählungen
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Migration
DEMOGRAPHY (POPULATION, VITAL STATISTICS, AND CENSUSES);Morbidität und Mortalität
ECONOMICS;WIRTSCHAFT
ECONOMICS;Konsum und Konsumverhalten
ECONOMICS;Wirtschaftliche Lage und Indikatoren
ECONOMICS;Wirtschaftspolitik, öffentliche Ausgaben und Einnahmen
ECONOMICS;Wirtschaftssysteme und wirtschaftliche Entwicklung
ECONOMICS;Einkommen, Vermögen und Geldanlagen/Sparen
EDUCATION;BILDUNG
EDUCATION;Vorschulerziehung und Bildung in der Pflichtschulzeit
EDUCATION;Bildungspolitik
EDUCATION;Höhere Bildung
EDUCATION;Lebenslanges Lernen
EDUCATION;Berufsausbildung
HEALTH;GESUNDHEIT
HEALTH;Ernährung
HEALTH;Drogenmissbrauch, Alkoholkonsum und Rauchen
HEALTH;Allgemeine Gesundheit und Wohlbefinden
HEALTH;Gesundheitswesen
HEALTH;Medizinische Behandlung und Medikation
HEALTH;Arbeitsmedizin
HEALTH;Körperliche Fitness und Bewegung
HEALTH;Öffentliche Gesundheit/Public Health
HEALTH;Reproduktionsmedizin
HEALTH;Krankheitszeichen, Symptome und krankhafte Befunde
HEALTH;Spezifische Krankheiten, Störungen und Gesundheitsprobleme
